Title,Author,Publication Year,DOI,Publication Title
Effects of wisdom and religiosity on subjective well-being in old age and young adulthood: Exploring the pathways through mastery and purpose in life,"Ardelt, Monika; Ferrari, Michel",2019,10.1017/S1041610218001680,International Psychogeriatrics
EEG correlates of visual short-term memory in older age vary with adult lifespan cognitive development.,"Wiegand, Iris; Lauritzen, Martin J.; Osler, Merete; Mortensen, Erik Lykke; Rostrup, Egill; Rask, Lene; Richard, Nelly; Horwitz, Anna; Benedek, Krisztina; Vangkilde, Signe; Petersen, Anders",2018,10.1016/j.neurobiolaging.2017.10.018,Neurobiology of aging
Dog Ownership from a Life Course Perspective and Leisure-time Physical Activity in Late Adulthood: The Helsinki Birth Cohort Study.,"Wasenius, Niko S.; Laine, Merja K.; Savola, Sara; Simonen, Mika; Tiira, Katriina; Lohi, Hannes; Eriksson, Johan G.; Salonen, Minna K.",2018,10.5993/AJHB.42.6.2,American journal of health behavior
Do or decline?: Comparing the effects of physical inactivity on biopsychosocial components of successful aging,"Meisner, Brad A.; Dogra, Shilpa; Logan, A. Jane; Baker, Joseph; Weir, Patricia L.",2010,10.1177/1359105310368184,Journal of Health Psychology
Distribution of white matter hyperintensity in cerebral hemorrhage and healthy aging,"Zhu, Yi-Cheng; Chabriat, Hugues; Godin, Ophélia; Dufouil, Carole; Rosand, Jonathan; Greenberg, Steven M.; Smith, Eric E.; Tzourio, Christophe; Viswanathan, Anand",2012,10.1007/s00415-011-6218-3,Journal of neurology
Dietary scores at midlife and healthy aging in a French prospective cohort: 149/497.  [Abstract],"Assmann, Karen; Andreeva, Valentina; Camilleri, Geraldine; Verger, Eric; Jeandel, Claude; Hercberg, Serge; Galan, Pilar; Kesse-Guyot, Emmanuelle",2015,"",Annals of Nutrition & Metabolism
"Diabetes mellitus Type II and cognitive capacity in healthy aging, mild cognitive impairment and Alzheimer's disease.","Degen, Christina; Toro, Pablo; Schönknecht, Peter; Sattler, Christine; Schröder, Johannes",2016,10.1016/j.psychres.2016.04.009,Psychiatry Research
Development of a common scale for measuring healthy ageing across the world: results from the ATHLOS consortium.,"Sanchez-Niubo, Albert; Forero, Carlos G.; Wu, Yu-Tzu; Giné-Vázquez, Iago; Prina, Matthew; De La Fuente, Javier; Daskalopoulou, Christina; Critselis, Elena; De La Torre-Luque, Alejandro; Panagiotakos, Demosthenes; Arndt, Holger; Ayuso-Mateos, José Luis; Bayes-Marin, Ivet; Bickenbach, Jerome; Bobak, Martin; Caballero, Francisco Félix; Chatterji, Somnath; Egea-Cortés, Laia; García-Esquinas, Esther; Leonardi, Matilde; Koskinen, Seppo; Koupil, Ilona; Mellor-Marsá, Blanca; Olaya, Beatriz; Pająk, Andrzej; Prince, Martin; Raggi, Alberto; Rodríguez-Artalejo, Fernando; Sanderson, Warren; Scherbov, Sergei; Tamosiunas, Abdonas; Tobias-Adamczyk, Beata; Tyrovolas, Stefanos; Haro, Josep Maria",2021,10.1093/ije/dyaa236,International journal of epidemiology
Depressive symptoms as a predictor of cognitive decline: MacArthur Studies of Successful Aging.,"Chodosh, Joshua; Kado, Deborah M.; Seeman, Teresa E.; Karlamangla, Arun S.",2007,10.1097/01.JGP.0b013e31802c0c63,The American journal of geriatric psychiatry : official journal of the American Association for Geriatric Psychiatry
Definition of successful aging by elderly Canadian males: the Manitoba Follow-up Study.,"Tate, Robert B.; Lah, Leedine; Cuddy, T. Edward",2003,10.1093/geront/43.5.735,The Gerontologist
"Decomposition of Mediterranean Dietary Pattern on Successful Aging, Among Older Adults: A Combined Analysis of Two Epidemiological Studies.","Foscolou, Alexandra; Koloverou, Efi; Matalas, Antonia-Leda; Tyrovolas, Stefanos; Chrysohoou, Christina; Sidossis, Labros; Rallidis, Loukianos; Panagiotakos, Demosthenes B.",2019,10.1177/0898264318780608,Journal of aging and health
Comparison of the Rowe-Kahn Model of Successful Aging With Self-rated Health and Life Satisfaction: The West of Scotland Twenty-07 Prospective Cohort Study.,"Whitley, Elise; Popham, Frank; Benzeval, Michaela",2016,10.1093/geront/gnv054,The Gerontologist
Comparison of self-rated and objective successful ageing in an international cohort,"Stewart, Jocelyn M.; Auais, Mohammad; Belanger, Emmanuelle; Phillips, Susan P.",2019,10.1017/S0144686X17001489,Ageing & Society
"Comparative accuracies of two common screening instruments for classification of Alzheimer's disease, mild cognitive impairment, and healthy aging","Roalf, David R.; Moberg, Paul J.; Xie, Sharon X.; Wolk, David A.; Moelter, Stephen T.; Arnold, Steven E.",2013,10.1016/j.jalz.2012.10.001,Journal of the Alzheimer
Cohort Profile: The Healthy Aging Longitudinal Study in Taiwan (HALST).,"Hsu, Chih-Cheng; Chang, Hsing-Yi; Wu, I.-Chien; Chen, Chu-Chih; Tsai, Hui-Ju; Chiu, Yen-Feng; Chuang, Shu-Chun; Hsiung, Wei-Chi; Tsai, Tsung-Lung; Liaw, Wen-Jin; Lin, I.-Ching; Shen, Shi-Chen; Juan, Chung-Chou; Lien, Li-Ming; Lee, Marion; Chen, Yii-Der Ida; Liu, Kiang; Hsiung, Chao A.",2017,10.1093/ije/dyw331,International journal of epidemiology
Cohort Profile:  The Melbourne Longitudinal Studies on Healthy Ageing Program,"Browning, Colette J.; Kendig, Hal",2010,10.1093/ije/dyq137,International journal of epidemiology
Cognitive-Linguistic Performance and Quality of Life in Healthy Aging.,"Constantinidou, Fofi; Prokopiou, Juliana; Nikou, Maria; Papacostas, Savvas",2015,10.1159/000440835,Folia phoniatrica et logopaedica : official organ of the International Association of Logopedics and Phoniatrics (IALP)
Cognitive Diversity in a Healthy Aging Cohort:  Cross-Domain Cognition in the Cam-CAN Project,"Shafto, Meredith A.; Henson, Richard N.; Matthews, Fiona E.; Taylor, Jason R.; Emery, Tina; Erzinclioglu, Sharon; Hanley, Claire; Rowe, James B.; Cusack, Rhodri; Calder, Andrew J.; Marslen-Wilson, William D.; Duncan, John; Dalgleish, Tim; Brayne, Carol; Cam-Can; Tyler, Lorraine K.",2020,10.1177/0898264319878095,Journal of Aging and Health
Chronic Idiopathic Axonal Polyneuropathy and Successful Aging of the Peripheral Nervous System in Elderly People,"Vrancken, Alexander F. J. E.; Franssen, Hessel; Wokke, John H. J.; Teunissen, Laurien L.; Notermans, Nicolette C.",2002,"",Archives of Neurology
Childhood self-control forecasts the pace of midlife aging and preparedness for old age.,"Richmond-Rakerd, Leah S.; Caspi, Avshalom; Ambler, Antony; d'Arbeloff, Tracy; de Bruine, Marieke; Elliott, Maxwell; Harrington, HonaLee; Hogan, Sean; Houts, Renate M.; Ireland, David; Keenan, Ross; Knodt, Annchen R.; Melzer, Tracy R.; Park, Sena; Poulton, Richie; Ramrakha, Sandhya; Rasmussen, Line Jee Hartmann; Sack, Elizabeth; Schmidt, Adam T.; Sison, Maria L.; Wertz, Jasmin; Hariri, Ahmad R.; Moffitt, Terrie E.",2021,10.1073/pnas.2010211118,Proceedings of the National Academy of Sciences of the United States of America
Characterising neural signatures of successful aging: Electrophysiological correlates of preserved episodic memory in older age,"Dockree, Paul M.; Brennan, Sabina; O'Sullivan, Michael; Robertson, Ian H.; O'Connell, Redmond G.",2015,10.1016/j.bandc.2015.04.002,Brain & Cognition
Centenarians - a useful model for healthy aging? A 29-year follow-up of hospitalizations among 40 000 Danes born in 1905,"Engberg, Henriette; Oksuzyan, Anna; Jeune, Bernard; Vaupel, James W.; Christensen, Kaare",2009,10.1111/j.1474-9726.2009.00474.x,Aging cell
"Caloric Restriction, the Traditional Okinawan Diet, and Healthy Aging: The Diet of the World's Longest-Lived People and Its Potential Impact on Morbidity and Life Span.  [Miscellaneous Article]","Willcox, BRADLEY J. a; Willcox, D. CRAIG a; Todoriki, HIDEMI d; Fujiyoshi, AKIRA b; Yano, KATSUHIKO a; He, QIMEI a; Curb, J. DAVID a; Suzuki, MAKOTO e",2007,"",Annals of the New York Academy of Sciences
Boomer matters: Responding to emotional health needs in an aging society,"O'Connor, Deborah; Kelson, Elizabeth",2018,10.1080/01634372.2017.1384778,Journal of Gerontological Social Work
Blood markers in healthy-aged nonagenarians: A combination of high telomere length and low amyloidbeta are strongly associated with healthy aging in the oldest old,"Fernandez-Eulate, Gorka; Alberro, Ainhoa; Munoz-Culla, Maider; Zulaica, Miren; Zufiria, Monica; Barandiaran, Myriam; Etxeberria, Igone; Yanguas, Jose Javier; Gallardo, Maria Mercedes; Soberon, Nora; Lacosta, Ana Maria; Perez-Grijalba, Virginia; Canudas, Jesus; Fandos, Noelia; Pesini, Pedro; Sarasa, Manuel; Indakoetxea, Begona; Moreno, Fermin; Vergara, Itziar; Otaegui, David; Blasco, Maria; de Munain, Adolfo Lopez",2018,10.3389/fnagi.2018.00380,Frontiers in Aging Neuroscience
"Awareness of olfactory deficits in healthy aging, amnestic mild cognitive impairment and Alzheimer's disease","Bahar-Fuchs, Alex; Moss, Simon; Rowe, Christopher; Savage, Greg",2011,10.1017/S1041610210002371,International Psychogeriatrics
Associations between frailty and serum N-terminal propeptide of type I procollagen and 25-hydroxyvitamin D in older Spanish women: The Toledo Study for Healthy Aging,"Alvarez-Rios, Ana I. a; Guerrero, Juan M. a; Garcia-Garcia, Francisco J. c; Rodriguez-Manas, Leocadio d; Medrano-Campillo, Pablo a; de la Torre Lanza, Maria A. c; Alvarez-Sanchez, Nuria b; Carrillo-Vico, Antonio b",2015,10.1016/j.exger.2015.05.011,Experimental Gerontology
Association Between Serum Beta-Carotene Levels and Decline of Cognitive Function in High-Functioning Older Persons With or Without Apolipoprotein E 4 Alleles: Mac Arthur Studies of Successful Aging,"Hu, Peifeng; Bretsky, Philip; Crimmins, Eileen M.; Guralnik, Jack M.; Reuben, David B.; Seeman, Teresa E.",2006,10.1093/gerona/61.6.616,Journals of Gerontology
"Association Between Atrophy of the Caudate Nuclei, Global Brain Atrophy, Cerebral Small Vessel Disease and Mild Parkinsonian Signs in Neurologically and Cognitively  Healthy Subjects Aged 45-84 Years: A Crosssectional Study.","Camarda, Cecilia; Torelli, Paola; Pipia, Carmela; Battaglini, Iacopo; Azzarello, Delia; Rosano, Rosamaria; Ventimiglia, Giusi Daniela; Sottile, Gianluca; Cilluffo, Giovanna; Camarda, Rosolino",2018,10.2174/1567205015666180702111110,Current Alzheimer research
Association Between Adherence to the Mediterranean Diet at Midlife and Healthy Aging in a Cohort of French Adults,"Assmann, Karen E.; Adjibade, Moufidath; Andreeva, Valentina A.; Hercberg, Serge; Galan, Pilar; Kesse-Guyot, Emmanuelle",2018,10.1093/gerona/glx066,Journals of Gerontology
Altitude and regional gradients in chronic kidney disease prevalence in Costa Rica: Data from the Costa Rican Longevity and Healthy Aging Study,"Harhay, Meera N.; Harhay, Michael O.; Coto-Yglesias, Fernando; Rosero Bixby, Luis",2016,10.1111/tmi.12622,Tropical Medicine & International Health
Aging impacts the overall connectivity strength of regions critical for information transfer among brain networks,"Bagarinao, Epifanio; Watanabe, Hirohisa; Maesawa, Satoshi; Mori, Daisuke; Hara, Kazuhiro; Kawabata, Kazuya; Yoneyama, Noritaka; Ohdake, Reiko; Imai, Kazunori; Masuda, Michihito; Yokoi, Takamasa; Ogura, Aya; Taoka, Toshiaki; Koyama, Shuji; Tanabe, Hiroki C.; Katsuno, Masahisa; Wakabayashi, Toshihiko; Kuzuya, Masafumi; Hoshiyama, Minoru; Isoda, Haruo; Naganawa, Shinji; Ozaki, Norio; Sobue, Gen",2020,10.3389/fnagi.2020.592469,Frontiers in Aging Neuroscience
Ageing trajectories of health-longitudinal opportunities and synergies (ATHLOS) Healthy Ageing Scale in adults from 16 international cohorts representing 38 countries worldwide,"Critselis, Elena; Panaretos, Dimitris; Sanchez-Niubo, Albert; Gine-Vazquez, Iago; Ayuso-Mateos, Jose Luis; Caballero, Francisco Felix; de la Fuente, Javier; Haro, Josep Maria; Panagiotakos, Demosthenes",,10.1136/jech-2020-214496,Journal of Epidemiology
Age and education effects and norms on a cognitive test battery from a population-based cohort: the Monongahela-Youghiogheny Healthy Aging Team.,"Ganguli, Mary; Snitz, Beth E.; Lee, Ching-Wen; Vanderbilt, Joni; Saxton, Judith A.; Chang, Chung-Chou H.",2010,10.1080/13607860903071014,Aging & mental health
Adherence to Mediterranean diet moderates the association between multimorbidity and depressive symptoms in older adults.,"Vicinanza, Roberto; Bersani, Francesco Saverio; D'Ottavio, Elisa; Murphy, Melanie; Bernardini, Sciaila; Crisciotti, Flaminia; Frizza, Alessandro; Mazza, Valentina; Biondi, Massimo; Troisi, Giovanni; Cacciafesta, Mauro",2020,10.1016/j.archger.2020.104022,Archives of gerontology and geriatrics
Abstract P324:  Association of Neighborhood Perception and Physical Activity in the Healthy Aging in Neighborhoods of Diversity Across the Lifespan (HANDLS) Study.  [Abstract],"Claudel, Sophie E.; Shiroma, Eric J.; Harris, Tamara B.; Ahuja, Chaarushi; Zonderman, Alan B.; Evans, Michele K.; Powell-Wiley, Tiffany M.",2018,"",Circulation
"Abstract P021:  Association of AHA Cardiovascular Health Metrics With Cognitive Function, Depression, and Anxiety:  The Emory Healthy Aging Study.  [Abstract]","Alonso, Alvaro; Goldstein, Felicia C.; Vaccarino, Viola; Levey, Allan I.; Lah, James J.; Marcus, Michele",2017,"",Circulation
Abstract P019:  Family History of Cardiovascular Disease is Associated With Cognitive Function:  The Emory Healthy Aging Study.  [Abstract],"Goetz, Margarethe E.; Marcus, Michele; Vaccarino, Viola; Goldstein, Felicia; Levey, Allan; Lah, James",2017,"",Circulation
Abstract 15421:  Effect of Sex and Age-group on Pulmonary Artery to Aorta Ratio in Healthy Aging:  The Framingham Heart Study,"Mohmand, Mawa; Gona, Philimon N.; Salton, Carol J.; Tsao, Connie W.; O'Donnell, Christopher J.; Manning, Warren J.; Chuang, Michael L.",2020,10.1161/circ.142.suppl_3.15421,Circulation
Abstract 15230:  Sex and Racial Differences in Normative Reference Ranges and Healthy Aging on Diastolic Function in Ethnic Asians:  2016 Ase Guideline Revisited,"Chang, Sheng Nan; Sung, Kuo-Tzu; Huang, Wen-Hung; Lin, Jou-Wei; Chien, Shih-Chieh; Hung, Ta-Chuan; Su, Cheng-huang; Tsai, Chia-Ti; Wu, Yen-Wen; Chiang, Fu-Tien; Yeh, Hung-I.; Hwang, Juey-Jen; Hung, Chung-lieh",2020,10.1161/circ.142.suppl_3.15230,Circulation
Abstract 12233:  Low Cardiovascular Risk in Midlife Predicts Active and Healthy Aging,"Strandberg, Timo; Rantanen, Kirsi",2015,"",Circulation
A Comparative Study of Pathological Outcomes in The University of Manchester Longitudinal Study of Cognition in Normal Healthy Old Age and Brains for Dementia  Research Cohorts.,"Robinson, Andrew C.; Chew-Graham, Stephen; Davidson, Yvonne S.; Horan, Michael A.; Roncaroli, Federico; Minshull, James; du Plessis, Daniel; Pal, Piyali; Payton, Antony; Pendleton, Neil; Mann, David M. A.",2020,10.3233/JAD-190580,Journal of Alzheimer's disease : JAD
41DIFFERENCES IN PHYSICAL PERFORMANCE ACROSS A MULTI-ETHNIC COHORT OF OLDER ADULTS:  INSIGHTS FROM THE HEALTHY AGING RESEARCH INITIATIVE.  [Abstract],"Mossop, H.; Granic, A.; Sayer, A. A.; Engstrom, G.; Davies, K.; Dodds, R.; Galvin, J.; Ouslander, J. G.; Tappen, R.",2017,10.1093/ageing/afx110.41,Age & Ageing
25-OH vitamin D levels and cognitive performance: Longitudinal assessment in a healthy aging cohort,"Carvalho, Andre Couto; Santos, Nadine Correia; Portugal-Nunes, Carlos; Castanho, Teresa Costa; Moreira, Pedro; Costa, Patricio Soares; Sousa, Nuno; Palha, Joana Almeida",2019,10.3389/fnagi.2019.00330,Frontiers in Aging Neuroscience
The association of aging with white matter integrity and functional connectivity hubs,"Yang, Albert C.; Tsai, Shih-Jen; Liu, Mu-En; Huang, Chu-Chung; Lin, Ching-Po",2016,"",Frontiers in Aging Neuroscience
Subjective well-being amongst community-dwelling elders: What determines satisfaction with life? Findings from the Dublin Healthy Aging Study,"Mhaolain, Aine M. Ni; Gallagher, Damien; Connell, Henry O.; Chin, A. V.; Bruce, Irene; Hamilton, Fiona; Teehee, Erin; Coen, Robert; Coakley, Davis; Cunningham, Conal; Walsh, J. B.; Lawlor, Brian A.",2012,10.1017/S1041610211001360,International Psychogeriatrics
Retinal thinning is uniquely associated with medial temporal lobe atrophy in neurologically normal older adults,"Casaletto, Kaitlin B.; Ward, Michael E.; Baker, Nicholas S.; Bettcher, Brianne M.; Gelfand, Jeffrey M.; Li, Yaqiao; Chen, Robert; Dutt, Shubir; Miller, Bruce; Kramer, Joel H.; Green, Ari J.",2017,10.1016/j.neurobiolaging.2016.12.011,Neurobiology of Aging
Physical activity and the risk of frailty among community-dwelling healthy older adults: A protocol for systematic review and meta-analysis,"Pan, Bei MD a; Li, Hongli MD c; Wang, Yunhua MD c; Sun, Min BS d; Cai, Hui; Wang, Jiancheng",2019,10.1097/MD.0000000000016955,Medicine
Moderate alcohol use and mental health,"O'Connell, H.",2006,10.1192/bjp.189.6.566a,Journal of Psychiatry
Metabolic Syndrome and Neurocognitive Deficits in HIV Infection,"Yu, Beverly BS a; Pasipanodya, Elizabeth; Montoya, Jessica L.; Moore, Raeanne C.; Gianella, Sara MD d; McCutchan, Allen MD e; Ellis, Ron MD b; Heaton, Robert K.; Jeste, Dilip V. MD b; Moore, David J.; Marquine, Maria J.",2019,10.1097/QAI.0000000000001964,Journal of Acquired Immune Deficiency Syndromes
Male centenarians: How and why are they different from their female counterparts?,"Perls, Thomas T.",2017,10.1111/jgs.14978,Journal of the American Geriatrics Society
Impact of tissue correction strategy on GABA-edited MRS findings,"Porges, Eric C.; Woods, Adam J.; Lamb, Damon G.; Williamson, John B.; Cohen, Ronald A.; Edden, Richard A. E.; Harris, Ashley D.",2017,10.1016/j.neuroimage.2017.08.073,NeuroImage
Functional hemispheric (A)symmetries in the aged brain-Relevance for working memory,"Esteves, Madalena; Magalhaes, Ricardo; Marques, Paulo; Castanho, Teresa C.; Portugal-Nunes, Carlos; Soares, Jose M.; Almeida, Armando; Santos, Nadine C.; Sousa, Nuno; Leite-Almeida, Hugo",2018,10.3389/fnagi.2018.00058,Frontiers in Aging Neuroscience
Early socioeconomic conditions and severe tooth loss in middle-aged Costa Ricans.,"Fantin, Romain; Delpierre, Cyrille; Kelly-Irving, Michelle; Barboza Solís, Cristina",2018,10.1111/cdoe.12351,Community Dentistry & Oral Epidemiology
Association of Urinary 6-Sulfatoxymelatonin (aMT6s) Levels and Objective and Subjective Sleep Measures in Older Men:  The MrOS Sleep Study,"Saksvik-Lehouillier, Ingvild; Harrison, Stephanie L.; Marshall, Lynn M.; Tranah, Greg J.; Ensrud, Kristine; Ancoli-Israel, Sonia; Clemons, Aaron; Redline, Susan; Stone, Katie L.; Schernhammer, Eva S.; Group, for the Osteoporotic Fractures in Men (MrOS) Study",2015,10.1093/gerona/glv088,Journals of Gerontology
Abstract P192:  Depression And Anxiety Are Associated With Cardiovascular Health In Young Adults.  [Abstract],"Patterson, Sierra L.; Marcus, Michele; Goetz, Margarethe; Gooding, Holly C.",2021,10.1161/circ.143.suppl_1.P192,Circulation
Abeta deposits in older non-demented individuals with cognitive decline are indicative of preclinical Alzheimer's disease,"Villemagne, V. L. a; Pike, K. E. a; Darby, D. d; Maruff, P. d; Savage, G. e; Ng, S. a; Ackermann, U. a; Cowie, T. F. c; Currie, J. g; Chan, S. G. a; Jones, G. a; Tochon-Danguy, H. a; O'Keefe, G. a; Masters, C. L. b; Rowe, C. C. a",2008,10.1016/j.neuropsychologia.2008.02.008,Neuropsychologia 2008
What do we learn from the clinical and biological evaluation of the oral cavity in centenarians?,"Rupel, Katia; Tettamanti, Mauro; Vella, Filomena; Fontanel, Giulia; Di Lenarda, Roberto; Biasotto, Matteo; Marcon, Gabriella",2021,10.1016/j.maturitas.2020.12.005,Maturitas
Vitamin K status and cognitive function in healthy older adults.,"Presse, Nancy; Belleville, Sylvie; Gaudreau, Pierrette; Greenwood, Carol E.; Kergoat, Marie-Jeanne; Morais, Jose A.; Payette, Hélène; Shatenstein, Bryna; Ferland, Guylaine",2013,10.1016/j.neurobiolaging.2013.05.031,Neurobiology of aging
Vestibular Function and Hippocampal Volume in the Baltimore Longitudinal Study of Aging (BLSA).,"Kamil, Rebecca J.; Jacob, Athira; Ratnanather, John Tilak; Resnick, Susan M.; Agrawal, Yuri",2018,10.1097/MAO.0000000000001838,"Otology & neurotology : official publication of the American Otological Society, American Neurotology Society [and] European Academy of Otology and Neurotology"
"Vasomotor symptoms in women over 60: results from the Data Registry on Experiences of Aging, Menopause, and Sexuality (DREAMS).","David, Paru S.; Kling, Juliana M.; Vegunta, Suneela; Faubion, Stephanie S.; Kapoor, Ekta; Mara, Kristin C.; Schroeder, Darrell R.; Hilsaca, Karla Frohmader; Kuhle, Carol L.",2018,10.1097/GME.0000000000001126,"Menopause (New York, N.Y.)"
Variability in total testosterone levels in ageing men with symptoms of androgen deficiency.,"Allan, C. A.; Strauss, B. J. G.; Forbes, E. A.; Paul, E.; McLachlan, R. I.",2011,10.1111/j.1365-2605.2010.01071.x,International journal of andrology
Validation and use of performance measures of functioning in a non-disabled older population: MacArthur studies of successful aging.,"Guralnik, J M; Seeman, T E; Tinetti, M E; Nevitt, M C; Berkman, L F",1994,"","Aging (Milan, Italy)"
Unfavourable sedentary and physical activity behaviour before and after retirement: a population-based cohort study.,"Ter Hoeve, Nienke; Ekblom, Maria; Galanti, Maria R.; Forsell, Yvonne; Nooijen, Carla F. J.",2020,10.1136/bmjopen-2020-037659,BMJ open
Trends in food consumption over 30 years: evidence from a British birth cohort.,"Pot, G. K.; Prynne, C. J.; Almoosawi, S.; Kuh, D.; Stephen, A. M.",2015,10.1038/ejcn.2014.223,European journal of clinical nutrition
Towards a Large-Scale Assessment of the Relationship between Biological and Chronological Aging: The INSPIRE Mouse Cohort.,"Santin, Y; Lopez, S; Ader, I; Andrieu, S; Blanchard, N; Carrière, A; Casteilla, L; Cousin, B; Davezac, N; De Souto Barreto, P; Dray, C; Fazilleau, N; Gonzalez-Dunia, D; Gourdy, P; Guyonnet, S; Jabrane-Ferrat, N; Kunduzova, O; Lezoualc'h, F; Liblau, R; Martinez, L O; Moro, C; Payoux, P; Pénicaud, L; Planat-Bénard, V; Rampon, C; Rolland, Y; Schanstra, J-P; Sierra, F; Valet, P; Varin, A; Vergnolle, N; Vellas, B; Viña, J; Guiard, B P; Parini, A",2021,10.14283/jfa.2020.43,The Journal of frailty & aging
Tourism experiences and the lower risk of mortality in the Chinese elderly: a national cohort study.,"Du, Min; Tao, Liyuan; Liu, Min; Liu, Jue",2021,10.1186/s12889-021-11099-8,BMC public health
To what extent does IQ 'explain' socio-economic variations in function?,"Bosma, Hans; van Boxtel, Martin P. J.; Kempen, Gertrudis I. J. M.; van Eijk, Jacques Th M.; Jolles, Jelle",2007,10.1186/1471-2458-7-179,BMC public health
The relation between cortisol excretion and fractures in healthy older people: results from the MacArthur studies-Mac.,"Greendale, G A; Unger, J B; Rowe, J W; Seeman, T E",1999,"",Journal of the American Geriatrics Society
"The Newcastle 85+ study: biological, clinical and psychosocial factors associated with healthy ageing: study protocol.","Collerton, Joanna; Barrass, Karen; Bond, John; Eccles, Martin; Jagger, Carol; James, Oliver; Martin-Ruiz, Carmen; Robinson, Louise; von Zglinicki, Thomas; Kirkwood, Tom",2007,10.1186/1471-2318-7-14,BMC geriatrics
The INSPIRE Bio-Resource Research Platform for Healthy Aging and Geroscience: Focus on the Human Translational Research Cohort (The INSPIRE-T Cohort).,"Guyonnet, S.; Rolland, Y.; Takeda, C.; Ousset, P.-J.; Ader, I.; Davezac, N.; Dray, C.; Fazilleau, N.; Gourdy, P.; Liblau, R.; Parini, A.; Payoux, P.; Pénicaud, L.; Rampon, C.; Valet, P.; Vergnolle, N.; Andrieu, S.; de Souto Barreto, P.; Casteilla, L.; Vellas, B.",2021,10.14283/jfa.2020.38,The Journal of frailty & aging
"The European Male Ageing Study (EMAS): design, methods and recruitment.","Lee, David M.; O'Neill, Terence W.; Pye, Stephen R.; Silman, Alan J.; Finn, Joseph D.; Pendleton, Neil; Tajar, Abdelouahid; Bartfai, Gyorgy; Casanueva, Felipe; Forti, Gianni; Giwercman, Aleksander; Huhtaniemi, Ilpo T.; Kula, Krzysztof; Punab, Margus; Boonen, Steven; Vanderschueren, Dirk; Wu, Frederick C. W.",2009,10.1111/j.1365-2605.2008.00879.x,International journal of andrology
The effects of 90-day supplementation with the omega-3 essential fatty acid docosahexaenoic acid (DHA) on cognitive function and visual acuity in a healthy aging population.,"Stough, Con; Downey, Luke; Silber, Beata; Lloyd, Jenny; Kure, Christina; Wesnes, Keith; Camfield, David",2012,10.1016/j.neurobiolaging.2011.03.019,Neurobiology of aging
The association of ancestral longevity with successful aging.,"Vaillant, G E",1991,"",Journal of gerontology
The association between obesity and the diagnosis of androgen deficiency in symptomatic ageing men.,"Allan, Carolyn A.; Strauss, Boyd J.; Burger, Henry G.; Forbes, Elise A.; McLachlan, Robert I.",2006,10.5694/j.1326-5377.2006.tb00639.x,The Medical journal of Australia
The Association Between Drug Burden Index (DBI) and Health-Related Outcomes: A Longitudinal Study of the 'Oldest Old' (LiLACS NZ).,"Cardwell, Karen; Kerse, Ngaire; Ryan, Cristín; Teh, Ruth; Moyes, Simon A.; Menzies, Oliver; Rolleston, Anna; Broad, Joanna; Hughes, Carmel M.",2020,10.1007/s40266-019-00735-z,Drugs & aging
The Aging Brain Care Medical Home: Preliminary Data.,"LaMantia, Michael A.; Alder, Catherine A.; Callahan, Christopher M.; Gao, Sujuan; French, Dustin D.; Austrom, Mary G.; Boustany, Karim; Livin, Lee; Bynagari, Bharath; Boustani, Malaz A.",2015,10.1111/jgs.13447,Journal of the American Geriatrics Society
Successful skeletal aging: a marker of low fracture risk and longevity. The Study of Osteoporotic Fractures (SOF).,"Cauley, Jane A.; Lui, Li-Yung; Barnes, Deborah; Ensrud, Kristine E.; Zmuda, Joseph M.; Hillier, Teresa A.; Hochberg, Marc C.; Schwartz, Ann V.; Yaffe, Kristine; Cummings, Steven R.; Newman, Anne B.",2009,10.1359/jbmr.080813,Journal of bone and mineral research : the official journal of the American Society for Bone and Mineral Research
Successful aging.,"Vaillant, G E; Mukamal, K",2001,"",The American journal of psychiatry
Successful aging: implications for oral health.,"Kiyak, H. A.",2000,10.1111/j.1752-7325.2000.tb03335.x,Journal of public health dentistry
[Successful aging: how to improve its occurrence in the elderly?].,"Crawford-Achour, Émilie; Castro-Lionard, Karine; Tardy, Magali; Trombert-Paviot, Béatrice; Barthélémy, Jean-Claude; Gonthier, Régis",2012,10.1684/pnv.2012.0318,Geriatrie et psychologie neuropsychiatrie du vieillissement
Successful Ageing in Nonagenarians: Bio-psychosocial Factors Determining Successful Ageing in Long-Lived Older Adults.,"Chong, Mei Sian; Tan, Cai Ning; Yew, Suzanne; Lim, Jun Pei; Lim, Wee Shiong; Lieu, Ping Kong",2018,10.1016/j.jamda.2017.10.015,Journal of the American Medical Directors Association
Subclinical cognitive decline in middle-age is associated with reduced task-induced deactivation of the brain's default mode network.,"Hansen, Naja Liv; Lauritzen, Martin; Mortensen, Erik Lykke; Osler, Merete; Avlund, Kirsten; Fagerlund, Birgitte; Rostrup, Egill",2014,10.1002/hbm.22489,Human brain mapping
Study of the association with -330T/G IL-2 in a population of centenarians from centre and south Italy.,"Scola, Letizia; Candore, Giuseppina; Colonna-Romano, Giuseppina; Crivello, Antonio; Forte, Giusi I; Paolisso, Giuseppe; Franceschi, Claudio; Lio, Domenico; Caruso, Calogero",2005,"",Biogerontology
